engagement_id,impression_id,user_id,ad_id,timestamp,clicked,skipped,dwell_time,converted,effective_ctr
1,1,525,362,2024-05-27 09:16:00.000000,1,0,41.68,0,0.1153
2,2,476,113,2024-04-19 06:51:00.000000,0,0,0.01,0,0.125
3,3,184,162,2024-01-02 21:47:00.000000,0,0,0.75,0,0.171
4,4,1722,230,2024-04-18 19:07:00.000000,0,0,0.44,0,0.055
5,5,296,145,2024-04-30 20:52:00.000000,0,0,1.02,0,0.0711
6,6,1003,38,2024-12-19 17:21:00.000000,0,1,0.29,0,0.0778
7,7,1739,95,2024-11-03 20:04:00.000000,0,0,1.37,0,0.0629
8,8,1736,379,2024-07-03 18:00:00.000000,0,0,0.31,0,0.0558
9,9,1039,494,2024-12-02 11:02:00.000000,0,0,0.33,0,0.075
10,10,1037,89,2024-01-07 23:07:00.000000,0,0,1.11,0,0.0396
11,11,1431,95,2024-01-10 21:57:00.000000,0,0,0.35,0,0.1095
12,12,1431,220,2024-01-10 21:58:38.985699,1,0,14.24,0,0.083
13,13,1134,251,2024-09-30 18:12:00.000000,0,0,1.37,0,0.0517
14,14,1134,272,2024-09-30 18:12:38.707570,0,0,0.27,0,0.0261
15,15,1134,38,2024-09-30 18:13:38.644145,0,1,1.51,0,0.0587
16,16,99,54,2024-08-10 07:54:00.000000,0,0,0.39,0,0.0259
17,17,99,210,2024-08-10 07:55:18.692634,0,0,1.33,0,0.1061
18,18,536,103,2024-05-03 10:33:00.000000,0,0,1.65,0,0.113
19,19,91,50,2024-02-01 13:15:00.000000,0,0,1.68,0,0.0708
20,20,91,65,2024-02-01 13:15:46.263361,0,0,1.36,0,0.1546
21,21,91,457,2024-02-01 13:15:50.042531,0,0,0.18,0,0.1159
22,22,691,479,2024-08-14 18:41:00.000000,0,1,0.34,0,0.0712
23,23,768,270,2024-01-01 18:55:00.000000,0,0,0.46,0,0.0586
24,24,768,288,2024-01-01 18:56:41.926889,0,0,0.53,0,0.0639
25,25,968,221,2024-08-07 21:24:00.000000,0,0,1.39,0,0.082
26,26,1163,162,2024-05-30 18:52:00.000000,0,0,1.93,0,0.1573
27,27,1163,15,2024-05-30 18:53:22.727329,0,0,0.81,0,0.0894
28,28,768,101,2024-08-03 00:09:00.000000,0,0,1.83,0,0.0527
29,29,167,417,2024-02-25 17:33:00.000000,0,0,0.48,0,0.1377
30,30,1734,353,2024-04-15 18:47:00.000000,0,0,1.58,0,0.0606
31,31,1091,218,2024-03-24 18:14:00.000000,0,1,1.69,0,0.0757
32,32,621,336,2024-09-17 16:15:00.000000,0,0,0.74,0,0.0955
33,33,621,200,2024-09-17 16:16:17.104374,0,1,1.99,0,0.0434
34,34,1562,186,2024-09-03 20:05:00.000000,0,0,1.32,0,0.1141
35,35,1562,224,2024-02-26 16:40:00.000000,0,0,0.18,0,0.0761
36,36,1438,457,2024-05-18 22:21:00.000000,0,1,1.0,0,0.0826
37,37,1438,64,2024-05-18 22:21:56.554061,0,0,0.85,0,0.0556
38,38,1438,132,2024-05-18 22:22:09.827209,0,0,0.29,0,0.0834
39,39,1682,28,2024-10-23 16:36:00.000000,0,1,1.16,0,0.0528
40,40,1913,406,2024-10-25 21:16:00.000000,0,0,0.15,0,0.1173
41,41,1428,186,2024-01-16 20:29:00.000000,0,0,1.59,0,0.1555
42,42,700,352,2024-02-09 11:19:00.000000,0,0,0.48,0,0.0613
43,43,1469,434,2024-02-20 18:01:00.000000,0,0,0.97,0,0.035
44,44,1734,303,2024-09-29 18:14:00.000000,0,1,0.02,0,0.0337
45,45,1734,295,2024-09-29 18:15:31.271140,0,0,1.63,0,0.0735
46,46,868,370,2024-07-10 17:37:00.000000,0,0,1.76,0,0.1551
47,47,1921,398,2024-09-03 06:23:00.000000,1,0,9.52,0,0.1429
48,48,1286,98,2024-09-08 00:25:00.000000,0,0,0.85,0,0.1345
49,49,31,295,2024-04-30 14:19:00.000000,0,0,1.26,0,0.1147
50,50,1385,220,2024-04-19 12:28:00.000000,0,1,1.53,0,0.0492
51,51,1385,420,2024-04-19 12:29:54.910700,0,1,0.24,0,0.0448
52,52,653,308,2024-07-23 12:14:00.000000,0,0,1.59,0,0.0401
53,53,688,212,2024-01-23 17:59:00.000000,0,0,1.15,0,0.0543
54,54,688,295,2024-01-23 18:03:38.493844,0,0,0.45,0,0.0498
55,55,950,319,2024-01-26 19:07:00.000000,0,0,1.21,0,0.0799
56,56,865,303,2024-01-01 23:22:00.000000,0,0,0.22,0,0.0392
57,57,1853,72,2024-03-25 18:07:00.000000,1,0,9.21,0,0.0295
58,58,1041,201,2024-12-05 19:38:00.000000,0,0,1.04,0,0.1817
59,59,207,22,2024-10-03 09:28:00.000000,0,1,1.02,0,0.0739
60,60,207,89,2024-10-03 09:30:10.043699,0,0,0.48,0,0.0538
61,61,1837,101,2024-09-07 13:05:00.000000,0,0,1.14,0,0.0838
62,62,1739,251,2024-11-24 20:24:00.000000,0,0,1.27,0,0.0629
63,63,1739,404,2024-11-24 20:25:45.947295,0,0,1.66,0,0.1429
64,64,1637,336,2024-03-22 10:11:00.000000,0,0,1.22,0,0.0923
65,65,1637,362,2024-03-22 10:11:49.970734,0,0,1.64,0,0.0671
