impression_id,watch_id,user_id,ad_id,video_id,timestamp,ad_position,ad_type,category_match,device
1,1,525,362,4wZwXhoxRIA,2024-05-27 09:16:00.000000,pre-roll,mid-roll,True,mobile
2,11,476,113,4wZwXhoxRIA,2024-04-19 06:51:00.000000,pre-roll,mid-roll,True,mobile
3,12,184,162,4wZwXhoxRIA,2024-01-02 21:47:00.000000,pre-roll,mid-roll,True,tablet
4,14,1722,230,4wZwXhoxRIA,2024-04-18 19:07:00.000000,pre-roll,non-skippable,False,mobile
5,21,296,145,4wZwXhoxRIA,2024-04-30 20:52:00.000000,pre-roll,bumper,True,tablet
6,22,1003,38,4wZwXhoxRIA,2024-12-19 17:21:00.000000,pre-roll,skippable,True,mobile
7,29,1739,95,4wZwXhoxRIA,2024-11-03 20:04:00.000000,pre-roll,pre-roll,True,mobile
8,30,1736,379,4wZwXhoxRIA,2024-07-03 18:00:00.000000,pre-roll,mid-roll,False,smart_tv
9,35,1039,494,UXB9bnuyZb4,2024-12-02 11:02:00.000000,pre-roll,bumper,True,desktop
10,36,1037,89,UXB9bnuyZb4,2024-01-07 23:07:00.000000,pre-roll,bumper,True,mobile
11,38,1431,95,UXB9bnuyZb4,2024-01-10 21:57:00.000000,pre-roll,pre-roll,True,desktop
12,38,1431,220,UXB9bnuyZb4,2024-01-10 21:58:38.985699,mid-roll,skippable,True,desktop
13,44,1134,251,UXB9bnuyZb4,2024-09-30 18:12:00.000000,pre-roll,bumper,True,mobile
14,44,1134,272,UXB9bnuyZb4,2024-09-30 18:12:38.707570,mid-roll,bumper,False,mobile
15,44,1134,38,UXB9bnuyZb4,2024-09-30 18:13:38.644145,mid-roll,skippable,True,mobile
16,47,99,54,UXB9bnuyZb4,2024-08-10 07:54:00.000000,pre-roll,bumper,False,mobile
17,47,99,210,UXB9bnuyZb4,2024-08-10 07:55:18.692634,mid-roll,non-skippable,True,mobile
18,48,536,103,UXB9bnuyZb4,2024-05-03 10:33:00.000000,pre-roll,mid-roll,True,mobile
19,49,91,50,UXB9bnuyZb4,2024-02-01 13:15:00.000000,pre-roll,pre-roll,False,desktop
20,49,91,65,UXB9bnuyZb4,2024-02-01 13:15:46.263361,mid-roll,mid-roll,True,desktop
21,49,91,457,UXB9bnuyZb4,2024-02-01 13:15:50.042531,mid-roll,pre-roll,True,desktop
22,51,691,479,UXB9bnuyZb4,2024-08-14 18:41:00.000000,pre-roll,pre-roll,True,tablet
23,59,768,270,UXB9bnuyZb4,2024-01-01 18:55:00.000000,pre-roll,banner,False,mobile
24,59,768,288,UXB9bnuyZb4,2024-01-01 18:56:41.926889,mid-roll,mid-roll,True,mobile
